AI Evaluation Results
==============================
AI #1: Score = 570, Steps = 1893
AI #2: Score = 460, Steps = 844
AI #3: Score = 430, Steps = 1204
AI #4: Score = 370, Steps = 1024
AI #5: Score = 370, Steps = 1129
AI #6: Score = 360, Steps = 949
AI #7: Score = 340, Steps = 1129
AI #8: Score = 330, Steps = 1129
AI #9: Score = 330, Steps = 1279
AI #10: Score = 330, Steps = 1174
AI #11: Score = 330, Steps = 1279
AI #12: Score = 330, Steps = 1174
AI #13: Score = 330, Steps = 1279
AI #14: Score = 330, Steps = 1174
AI #15: Score = 330, Steps = 1459
AI #16: Score = 330, Steps = 1504
AI #17: Score = 330, Steps = 1129
AI #18: Score = 330, Steps = 1129
AI #19: Score = 330, Steps = 1129
AI #20: Score = 330, Steps = 1279
AI #21: Score = 330, Steps = 1504
AI #22: Score = 330, Steps = 1279
AI #23: Score = 330, Steps = 1129
AI #24: Score = 330, Steps = 1174
AI #25: Score = 330, Steps = 1129
AI #26: Score = 330, Steps = 1504
AI #27: Score = 330, Steps = 1129
AI #28: Score = 330, Steps = 1129
AI #29: Score = 330, Steps = 1129
AI #30: Score = 330, Steps = 1129
AI #31: Score = 330, Steps = 1129
AI #32: Score = 330, Steps = 1129
AI #33: Score = 330, Steps = 1129
AI #34: Score = 330, Steps = 1279
AI #35: Score = 330, Steps = 1129
AI #36: Score = 330, Steps = 1174
AI #37: Score = 330, Steps = 1129
AI #38: Score = 330, Steps = 1174
AI #39: Score = 330, Steps = 1174
AI #40: Score = 330, Steps = 1279
AI #41: Score = 330, Steps = 1279
AI #42: Score = 320, Steps = 860
AI #43: Score = 320, Steps = 904
AI #44: Score = 320, Steps = 870
AI #45: Score = 320, Steps = 828
AI #46: Score = 320, Steps = 828
AI #47: Score = 320, Steps = 828
AI #48: Score = 320, Steps = 1081
AI #49: Score = 310, Steps = 879
AI #50: Score = 310, Steps = 1743
AI #51: Score = 310, Steps = 859
AI #52: Score = 310, Steps = 844
AI #53: Score = 300, Steps = 878
AI #54: Score = 300, Steps = 850
AI #55: Score = 300, Steps = 844
AI #56: Score = 300, Steps = 904
AI #57: Score = 300, Steps = 904
AI #58: Score = 300, Steps = 844
AI #59: Score = 300, Steps = 904
AI #60: Score = 290, Steps = 859
AI #61: Score = 290, Steps = 844
AI #62: Score = 290, Steps = 844
AI #63: Score = 290, Steps = 844
AI #64: Score = 290, Steps = 844
AI #65: Score = 290, Steps = 844
AI #66: Score = 290, Steps = 844
AI #67: Score = 290, Steps = 844
AI #68: Score = 290, Steps = 844
AI #69: Score = 290, Steps = 844
AI #70: Score = 290, Steps = 1444
AI #71: Score = 290, Steps = 844
AI #72: Score = 290, Steps = 844
AI #73: Score = 290, Steps = 844
AI #74: Score = 290, Steps = 844
AI #75: Score = 290, Steps = 859
AI #76: Score = 290, Steps = 779
AI #77: Score = 290, Steps = 844
AI #78: Score = 280, Steps = 844
AI #79: Score = 280, Steps = 844
AI #80: Score = 280, Steps = 844
AI #81: Score = 280, Steps = 844
AI #82: Score = 280, Steps = 859
AI #83: Score = 280, Steps = 844
AI #84: Score = 280, Steps = 724
AI #85: Score = 270, Steps = 844
AI #86: Score = 270, Steps = 844
AI #87: Score = 270, Steps = 844
AI #88: Score = 270, Steps = 844
AI #89: Score = 270, Steps = 859
AI #90: Score = 270, Steps = 844
AI #91: Score = 270, Steps = 844
AI #92: Score = 270, Steps = 844
AI #93: Score = 270, Steps = 844
AI #94: Score = 270, Steps = 844
AI #95: Score = 270, Steps = 844
AI #96: Score = 270, Steps = 844
AI #97: Score = 270, Steps = 844
AI #98: Score = 270, Steps = 844
AI #99: Score = 270, Steps = 964
AI #100: Score = 270, Steps = 904
AI #101: Score = 270, Steps = 844
AI #102: Score = 270, Steps = 844
AI #103: Score = 270, Steps = 844
AI #104: Score = 270, Steps = 844
AI #105: Score = 270, Steps = 844
AI #106: Score = 270, Steps = 844
AI #107: Score = 270, Steps = 844
AI #108: Score = 270, Steps = 844
AI #109: Score = 270, Steps = 844
AI #110: Score = 270, Steps = 844
AI #111: Score = 270, Steps = 844
AI #112: Score = 270, Steps = 859
AI #113: Score = 270, Steps = 844
AI #114: Score = 270, Steps = 844
AI #115: Score = 270, Steps = 859
AI #116: Score = 270, Steps = 844
AI #117: Score = 270, Steps = 844
AI #118: Score = 270, Steps = 844
AI #119: Score = 270, Steps = 844
AI #120: Score = 270, Steps = 859
AI #121: Score = 270, Steps = 844
AI #122: Score = 270, Steps = 844
AI #123: Score = 270, Steps = 844
AI #124: Score = 270, Steps = 844
AI #125: Score = 270, Steps = 844
AI #126: Score = 270, Steps = 844
AI #127: Score = 270, Steps = 844
AI #128: Score = 270, Steps = 844
AI #129: Score = 270, Steps = 844
AI #130: Score = 270, Steps = 859
AI #131: Score = 270, Steps = 844
AI #132: Score = 270, Steps = 859
AI #133: Score = 270, Steps = 844
AI #134: Score = 270, Steps = 996
AI #135: Score = 270, Steps = 844
AI #136: Score = 270, Steps = 844
AI #137: Score = 270, Steps = 859
AI #138: Score = 270, Steps = 844
AI #139: Score = 270, Steps = 844
AI #140: Score = 270, Steps = 859
AI #141: Score = 270, Steps = 844
AI #142: Score = 270, Steps = 904
AI #143: Score = 270, Steps = 844
AI #144: Score = 270, Steps = 844
AI #145: Score = 270, Steps = 844
AI #146: Score = 270, Steps = 994
AI #147: Score = 270, Steps = 844
AI #148: Score = 270, Steps = 844
