AI Evaluation Results
==============================
AI #1: Score = 300, Steps = 844
AI #2: Score = 290, Steps = 859
AI #3: Score = 280, Steps = 904
AI #4: Score = 280, Steps = 844
AI #5: Score = 280, Steps = 904
AI #6: Score = 270, Steps = 904
AI #7: Score = 270, Steps = 844
AI #8: Score = 270, Steps = 844
AI #9: Score = 270, Steps = 859
AI #10: Score = 270, Steps = 844
AI #11: Score = 270, Steps = 904
AI #12: Score = 270, Steps = 834
AI #13: Score = 270, Steps = 826
AI #14: Score = 270, Steps = 834
AI #15: Score = 270, Steps = 859
AI #16: Score = 270, Steps = 844
AI #17: Score = 270, Steps = 834
AI #18: Score = 270, Steps = 904
AI #19: Score = 270, Steps = 904
AI #20: Score = 270, Steps = 859
AI #21: Score = 270, Steps = 859
AI #22: Score = 270, Steps = 834
AI #23: Score = 270, Steps = 859
AI #24: Score = 250, Steps = 859
AI #25: Score = 230, Steps = 724
AI #26: Score = 230, Steps = 829
AI #27: Score = 220, Steps = 722
AI #28: Score = 210, Steps = 724
AI #29: Score = 190, Steps = 709
AI #30: Score = 190, Steps = 1391
AI #31: Score = 190, Steps = 829
AI #32: Score = 170, Steps = 1148
AI #33: Score = 160, Steps = 823
AI #34: Score = 160, Steps = 830
AI #35: Score = 160, Steps = 886
AI #36: Score = 160, Steps = 917
AI #37: Score = 160, Steps = 886
AI #38: Score = 160, Steps = 886
AI #39: Score = 160, Steps = 886
AI #40: Score = 160, Steps = 886
AI #41: Score = 160, Steps = 886
AI #42: Score = 160, Steps = 887
AI #43: Score = 120, Steps = 650
AI #44: Score = 110, Steps = 722
AI #45: Score = 100, Steps = 589
AI #46: Score = 100, Steps = 724
AI #47: Score = 90, Steps = 589
AI #48: Score = 90, Steps = 598
AI #49: Score = 60, Steps = 558
AI #50: Score = 60, Steps = 514
AI #51: Score = 40, Steps = 468
AI #52: Score = 20, Steps = 499
AI #53: Score = 20, Steps = 378
AI #54: Score = 20, Steps = 423
AI #55: Score = 20, Steps = 499
AI #56: Score = 20, Steps = 542
AI #57: Score = 10, Steps = 468
AI #58: Score = 10, Steps = 468
AI #59: Score = 10, Steps = 468
AI #60: Score = 10, Steps = 468
AI #61: Score = 10, Steps = 468
AI #62: Score = 10, Steps = 468
AI #63: Score = 10, Steps = 466
AI #64: Score = 10, Steps = 468
AI #65: Score = 0, Steps = 423
AI #66: Score = 0, Steps = 423
AI #67: Score = 0, Steps = 423
AI #68: Score = 0, Steps = 303
AI #69: Score = 0, Steps = 423
AI #70: Score = 0, Steps = 423
AI #71: Score = 0, Steps = 303
AI #72: Score = 0, Steps = 378
AI #73: Score = 0, Steps = 423
AI #74: Score = 0, Steps = 303
AI #75: Score = 0, Steps = 303
AI #76: Score = 0, Steps = 303
AI #77: Score = 0, Steps = 303
AI #78: Score = 0, Steps = 423
AI #79: Score = 0, Steps = 423
AI #80: Score = 0, Steps = 303
==============================
Total AIs Evaluated: 80
