AI Evaluation Results
==============================
AI #1: Score = 180, Steps = 1894
AI #2: Score = 180, Steps = 724
AI #3: Score = 90, Steps = 814
AI #4: Score = 90, Steps = 634
AI #5: Score = 90, Steps = 589
AI #6: Score = 50, Steps = 534
AI #7: Score = 10, Steps = 468
AI #8: Score = 10, Steps = 468
AI #9: Score = 10, Steps = 468
AI #10: Score = 10, Steps = 468
AI #11: Score = 10, Steps = 468
AI #12: Score = 10, Steps = 468
AI #13: Score = 10, Steps = 468
AI #14: Score = 0, Steps = 303
AI #15: Score = 0, Steps = 303
AI #16: Score = 0, Steps = 303
AI #17: Score = 0, Steps = 303
AI #18: Score = 0, Steps = 423
AI #19: Score = 0, Steps = 303
AI #20: Score = 0, Steps = 303
AI #21: Score = 0, Steps = 303
AI #22: Score = 0, Steps = 303
AI #23: Score = 0, Steps = 303
AI #24: Score = 0, Steps = 259
AI #25: Score = 0, Steps = 423
AI #26: Score = 0, Steps = 303
AI #27: Score = 0, Steps = 303
AI #28: Score = 0, Steps = 303
AI #29: Score = 0, Steps = 303
AI #30: Score = 0, Steps = 303
AI #31: Score = 0, Steps = 303
AI #32: Score = 0, Steps = 303
AI #33: Score = 0, Steps = 303
AI #34: Score = 0, Steps = 303
AI #35: Score = 0, Steps = 303
AI #36: Score = 0, Steps = 303
AI #37: Score = 0, Steps = 303
AI #38: Score = 0, Steps = 303
AI #39: Score = 0, Steps = 303
AI #40: Score = 0, Steps = 303
==============================
Total AIs Evaluated: 40
